80670.202601988: (None, None)
80670.3959752: (None, None)
80670.397023242: (None, None)
80670.487620484: (None, None)
80670.685612484: (None, None)
80670.701986711: (None, None)
80670.809454284: (None, None)
80670.940795449: (None, None)
80671.026298685: (None, None)
80671.133172235: (None, None)
80671.267407207: (716.2035522460938, 331.1501770019531)
80671.358255131: (749.2852172851562, 207.92022705078125)
80671.462779625: (None, None)
80671.57648232: (None, None)
80671.683034614: (None, None)
80671.780526575: (None, None)
80671.877945774: (None, None)
80671.979015721: (None, None)
80672.077522493: (1044.2332763671875, 325.89703369140625)
80672.174458402: (1046.50146484375, 302.52825927734375)
80672.275136518: (989.65869140625, 281.2040710449219)
80672.371574136: (949.5875244140625, 281.97265625)
80672.469690796: (953.7955322265625, 311.06573486328125)
80672.566701341: (1035.431396484375, 354.95587158203125)
80672.674427409: (1021.9132080078125, 366.7265625)
80672.781575861: (998.7088623046875, 370.36065673828125)
80672.889876002: (857.0403442382812, 327.9342346191406)
80672.996599758: (None, None)
80673.102370371: (None, None)
80673.222082975: (None, None)
80673.329692217: (None, None)
80673.42963282: (None, None)
80673.534037937: (None, None)
80673.622543472: (None, None)
80673.7208992: (None, None)
80673.817397131: (None, None)
80673.916034896: (None, None)
80674.012747258: (864.1817626953125, 264.4466247558594)
80674.11055558: (921.8627319335938, 285.2964782714844)
80674.215780297: (966.7618408203125, 293.20361328125)
80674.309546872: (969.8357543945312, 292.61444091796875)
80674.407411289: (930.7901611328125, 277.840087890625)
80674.504362145: (862.522216796875, 193.9891357421875)
80674.603697267: (None, None)
80674.709412306: (None, None)
80674.819208415: (680.6967163085938, 287.21728515625)
80674.928789623: (497.8268737792969, 322.04632568359375)
80675.022505156: (500.97491455078125, 324.611083984375)
80675.125895202: (524.9061889648438, 322.8981018066406)
80675.215295077: (495.19915771484375, 315.3481750488281)
80675.30285924: (None, None)
80675.404403989: (521.54833984375, 319.2007141113281)
80675.486881229: (None, None)
80675.579654713: (513.5787963867188, 317.7291259765625)
80675.67227887: (533.653564453125, 322.94677734375)
80675.76177755: (538.171875, 319.37823486328125)
80675.850023028: (None, None)
80675.944093048: (None, None)
80676.032689366: (None, None)
80676.12345281: (541.5153198242188, 327.7673034667969)
80676.218337169: (536.2935791015625, 327.0382995605469)
80676.306607231: (None, None)
80676.40340147: (543.1292724609375, 325.2478332519531)
80676.490119523: (723.2071533203125, 308.0181884765625)
80676.580543846: (554.8285522460938, 330.085205078125)
80676.675471955: (544.4345703125, 320.26348876953125)
80676.763082629: (None, None)
80676.854295718: (739.8320922851562, 300.33087158203125)
80676.948129274: (None, None)
80677.038009108: (None, None)
80677.133165607: (None, None)
80677.222668818: (726.6942138671875, 382.092529296875)
80677.314468272: (709.8521728515625, 440.1938781738281)
80677.414999669: (None, None)
80677.497798842: (None, None)
80677.589229175: (None, None)
80677.683321695: (None, None)
80677.772332136: (733.9947509765625, 513.7042846679688)
80677.864622902: (671.2787475585938, 547.1301879882812)
80677.962537268: (None, None)
80678.0483927: (None, None)
80678.147946473: (771.2891845703125, 533.7913208007812)
80678.235351831: (906.853271484375, 569.2694091796875)
80678.328315891: (None, None)
80678.418921364: (758.0120849609375, 533.0452880859375)
80678.510910666: (833.2127685546875, 533.0414428710938)
80678.604396143: (704.3668212890625, 523.9700317382812)
80678.690185115: (None, None)
80678.777899229: (None, None)
80678.87586844: (705.3162231445312, 532.3109130859375)
80678.962103463: (None, None)
80679.053773644: (737.6890869140625, 532.2482299804688)
80679.151627644: (852.3524169921875, 529.4104614257812)
80679.234870525: (727.6474609375, 532.43701171875)
80679.326521904: (None, None)
80679.420785: (None, None)
80679.508301142: (None, None)
80679.598576556: (None, None)
80679.692061617: (None, None)
80679.78030746: (742.3756103515625, 537.1005249023438)
80679.879062103: (742.94921875, 530.91845703125)
80679.965963701: (746.6454467773438, 527.6387329101562)
80680.056089946: (819.9158935546875, 532.1838989257812)
80680.150140174: (None, None)
80680.242582558: (837.1454467773438, 545.2926635742188)
80680.32782303: (None, None)
80680.426179436: (737.5689697265625, 517.4202880859375)
80680.511194175: (None, None)
80680.60350166: (759.3933715820312, 523.3734741210938)
80680.697388812: (None, None)
80680.789669058: (709.8894653320312, 530.143310546875)
80680.885076187: (711.6089477539062, 544.05712890625)
80680.976761786: (None, None)
80681.062828837: (None, None)
80681.162571104: (696.4693603515625, 548.503662109375)
80779.589529895: (443.04296875, 597.3031005859375)
80779.690261207: (None, None)
80779.815258415: (None, None)
80779.910094089: (None, None)
80780.006299322: (None, None)
80780.101005515: (None, None)
80780.198219674: (None, None)
80780.306151962: (None, None)
80780.405267981: (None, None)
80780.506853685: (None, None)
80780.608610538: (None, None)
80780.710547551: (None, None)
80780.813461094: (None, None)
80780.916540421: (1114.133544921875, 495.9813537597656)
80781.019352138: (None, None)
80781.122327453: (None, None)
80781.226735817: (None, None)
80781.322465624: (None, None)
80781.420897985: (834.7363891601562, 100.77835083007812)
80781.513829143: (None, None)
80781.605714395: (None, None)
80781.706339975: (None, None)
80781.805979443: (None, None)
80781.906904822: (713.4833984375, 137.87171936035156)
80782.009283354: (None, None)
80782.108147077: (None, None)
80782.207935454: (None, None)
80782.30714783: (None, None)
80782.406885164: (None, None)
80782.506415463: (None, None)
80782.607114483: (None, None)
80782.707136562: (None, None)
80782.808735392: (None, None)
80782.906593522: (None, None)
80783.003120429: (None, None)
80837.401694205: (None, None)
80837.493845042: (None, None)
80837.594481777: (None, None)
80837.695174241: (None, None)
80837.794899968: (None, None)
80837.895967336: (None, None)
80837.994500122: (None, None)
80838.099423296: (None, None)
80838.193270364: (None, None)
80838.298170413: (None, None)
80838.402428729: (None, None)
80838.507363622: (None, None)
80838.619918353: (None, None)
80838.723221026: (None, None)
80838.820723531: (None, None)
80838.915005504: (None, None)
80839.011318247: (None, None)
80839.117228055: (None, None)
80839.386760794: (None, None)
80839.480057018: (None, None)
80839.575810271: (None, None)
80839.6713343: (None, None)
80839.765241265: (None, None)
80839.860592947: (None, None)
80839.953212179: (864.1498413085938, 125.15265655517578)
80840.05337229: (None, None)
80840.155553639: (None, None)
80840.262661387: (None, None)
80840.359189551: (1047.173583984375, 168.58740234375)
81017.296900624: (None, None)
81017.353155708: (None, None)
81017.364307702: (None, None)
81017.451470748: (None, None)
81017.539562615: (None, None)
81017.6208332: (None, None)
81017.715729943: (None, None)
81017.812721779: (None, None)
81017.902384303: (None, None)
81018.001870825: (None, None)
81018.097902903: (None, None)
81018.197393592: (None, None)
81018.293941878: (None, None)
81018.387929019: (None, None)
81018.486668339: (None, None)
81018.580282035: (None, None)
81018.670114301: (None, None)
81018.768300329: (None, None)
81018.866623807: (None, None)
81018.963774449: (None, None)
81019.062990601: (None, None)
81019.158210319: (None, None)
81019.255021996: (None, None)
81019.349338102: (None, None)
81019.439724443: (None, None)
81019.528799715: (None, None)
81019.623813647: (None, None)
81019.716700923: (None, None)
81019.811957465: (946.217529296875, 546.24365234375)
81019.897914966: (None, None)
81019.990842868: (907.8479614257812, 393.3324279785156)
